Date,Open,High,Low,Close,Volume
2025-07-31,2914.5,2914.5,2914.5,2914.5,1
2025-08-04,2813.5,2813.5,2813.5,2813.5,2
2025-08-05,2863.5,2863.5,2863.5,2863.5,1
2025-08-06,2828.5,2828.5,2823.5,2823.5,3
2025-08-07,2833.5,2833.5,2823.5,2823.5,3
2025-08-08,2798.5,2798.5,2798.5,2798.5,1
2025-08-12,2863.5,2863.5,2863.5,2863.5,1
2025-08-14,2863.5,2863.5,2863.5,2863.5,1
2025-08-18,2833.5,2833.5,2833.5,2833.5,2
2025-08-19,2758.5,2758.5,2758.5,2758.5,1
2025-08-20,2718.5,2718.5,2718.5,2718.5,1
2025-08-22,2708.5,2708.5,2708.5,2708.5,9
2025-08-26,2738.5,2738.5,2738.5,2738.5,5
2025-08-29,2683.5,2683.5,2683.5,2683.5,1
2025-09-01,2687.5,2687.5,2687.5,2687.5,4
2025-09-17,2813.5,2813.5,2813.5,2813.5,2
2025-09-18,2833.5,2833.5,2823.5,2823.5,3
2025-09-19,2838.5,2838.5,2820,2820,2
2025-09-22,2849,2849,2849,2849,1
2025-09-23,2793.5,2793.5,2788.5,2788.5,3
2025-09-25,2763,2763,2763,2763,1
2025-10-01,2657.5,2667.5,2633.5,2633.5,3
2025-10-03,2662.5,2662.5,2662.5,2662.5,1
2025-10-06,2627.5,2627.5,2577,2577,2
2025-10-07,2637.5,2637.5,2637.5,2637.5,3
2025-10-10,2673.5,2723,2673.5,2723,2
2025-10-16,2642.5,2642.5,2642.5,2642.5,2
2025-10-17,2559.5,2559.5,2559.5,2559.5,1
2025-10-20,2599.5,2637.5,2599.5,2637.5,2
2025-10-23,2658.5,2658.5,2658.5,2658.5,20
2025-10-24,2703,2703,2703,2703,1
2025-10-27,2718.5,2718.5,2718.5,2718.5,1
2025-10-28,2745,2745,2745,2745,20
2025-10-29,2768,2768,2738,2738,10
2025-10-30,2531.5,2531.5,2440,2451,13
2025-10-31,2506.5,2506.5,2441,2441,38
2025-11-03,2469,2469,2432,2441,11
2025-11-04,2335,2375.5,2335,2375.5,10
2025-11-05,2376.5,2376.5,2340,2355.5,11
2025-11-06,2375.5,2390.5,2375.5,2390.5,3
2025-11-07,2280,2280,2224.5,2224.5,4
2025-11-10,2335,2366.5,2325,2366.5,31
2025-11-12,2315,2315,2264.5,2264.5,50
2025-11-13,2249.5,2249.5,2209.5,2244.5,19
2025-11-14,2263.5,2263.5,2159.5,2234.5,10
2025-11-17,2244.5,2244.5,2232.5,2232.5,26
2025-11-18,2202.5,2202.5,2142.5,2142.5,8
2025-11-19,2180,2187,2167,2187,4
2025-11-20,2212.5,2212.5,2212.5,2212.5,1
2025-11-21,2162.5,2167,2162.5,2167,3
2025-11-24,2193,2193,2182.5,2183,7
2025-11-25,2270,2270,2270,2270,5
2025-11-26,2358.5,2358.5,2338.5,2338.5,4
2025-11-27,2338.5,2338.5,2338.5,2338.5,2
2025-11-28,2343.5,2343.5,2343.5,2343.5,1
2025-12-01,2348.5,2348.5,2343.5,2343.5,2
2025-12-03,2373.5,2373.5,2348.5,2348.5,5
2025-12-05,2407,2443,2407,2443,2
2025-12-08,2500,2500,2426,2426,75
2025-12-10,2388.5,2388.5,2368.5,2368.5,5
2025-12-11,2333,2338.5,2317.5,2338.5,16
2025-12-12,2363.5,2363.5,2317.5,2317.5,2
2025-12-15,2338.5,2338.5,2333,2333,6
2025-12-16,2355.5,2355.5,2355.5,2355.5,3
2025-12-17,2374,2374,2368.5,2368.5,5
2025-12-18,2363,2400,2363,2400,2
2025-12-19,2413,2413,2413,2413,1
2025-12-29,2350.5,2350.5,2350.5,2350.5,8
2025-12-30,2350.5,2350.5,2350.5,2350.5,1
2026-01-02,2350.5,2350.5,2335,2335,6
2026-01-08,2335,2335,2335,2335,1
2026-01-09,2314.5,2345,2314.5,2345,2
2026-01-12,2347.5,2350.5,2309,2350.5,8
2026-01-13,2382.5,2382.5,2292,2292,6
2026-01-14,2299,2299,2254.5,2269,21
2026-01-15,2256.5,2262.5,2250.5,2262.5,25
2026-01-16,2281,2281,2281,2281,2
2026-01-19,2232.5,2232.5,2201,2201,2
2026-01-20,2171,2214.5,2171,2208.5,8
2026-01-21,2226.5,2226.5,2226.5,2226.5,11
2026-01-23,2335,2356.5,2323,2356.5,34
2026-01-26,2360,2371.5,2360,2371.5,6
2026-01-27,2380,2407.5,2362.5,2365,9
2026-01-28,2383.5,2383.5,2383.5,2383.5,1
2026-01-29,2524,2588,2524,2588,3
2026-01-30,2542,2554,2542,2542,10
2026-02-02,2500,2559.5,2494,2559.5,21
2026-02-03,2559,2559,2559,2559,4
2026-02-05,2390,2390,2390,2390,1
2026-02-09,2377.5,2377.5,2377.5,2377.5,2
2026-02-18,2278,2278,2278,2278,10
2026-02-19,2278.5,2317,2272.5,2317,119
2026-02-20,2329,2333,2329,2333,12
